TIPID,Municipalities,Allocation,ID,LineItemName,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond
5088.0,Narragansett,0.24,358.0,,,,0.24,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5109.0,Newport,0.0,377.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5150.0,Pawtucket,0.0,662.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5203.0,Providence,0.0,669.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5224.0,Smithfield,0.081,454.0,,,,0.081,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5267.0,Warren,0.51,482.0,,,,0.51,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5285.0,Westerly,0.261,496.0,,,,0.261,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5294.0,Woonsocket,0.117,504.0,,,,0.117,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5011.0,"Pawtucket, Central Falls",3.53,315.0,,,,0.83,,,,,,,,,,,,,,,,2.7,0.0,0.0,0.0
5064.0,Jamestown,0.0,643.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5073.0,"Middletown, Newport, Portsmouth",0.0,647.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5111.0,Newport,0.0,656.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5113.0,"Newport, Middletown, Portsmouth, Providence",0.0,657.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5195.0,Providence,0.0,436.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5204.0,Providence,0.0,442.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5208.0,Providence,0.0,672.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5249.0,S. Kingstown,0.0,469.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5254.0,Statewide,0.0,471.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5255.0,Statewide,0.0,472.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5256.0,Statewide,0.0,473.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5308.0,Woonsocket,0.0,690.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5325.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,
9008.0,Statewide,0.0,693.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
9009.0,Statewide,0.0,694.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
7109.0,Statewide,1.0,538.0,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1296.0,Barrington,2.45,60.0,,,,,,,,,,,,,,,,,2.45,,,,0.0,0.0,0.0
1297.0,Barrington,0.0,61.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5004.0,Barrington,0.0,309.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1290.0,"Barrington, E. Providence",0.0,54.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1298.0,"Barrington, E. Providence",0.0,62.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1300.0,Bristol,0.0,64.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
2001.0,"Pawtucket, Central Falls",,,,,,,,,,,,,,,,,,,,,,,,,
1301.0,Bristol,0.0,65.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1299.0,Bristol,0.0,63.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1302.0,Burrillville,0.1,66.0,,,,,,,,,,,,,,,,,0.1,,,,0.0,0.0,0.0
1304.0,Burrillville,0.0,67.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5009.0,Burrillville,0.0,313.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5008.0,Burrillville,0.0,312.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1305.0,Central Falls,0.0,68.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1306.0,"Central Falls, Pawtucket",0.0,69.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1307.0,"Central Falls, Pawtucket, Cumberland",0.0,70.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1317.0,"Central Falls, Pawtucket, Cumberland",0.0,78.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1308.0,Charlestown,0.0,71.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1311.0,Coventry,0.0,73.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1309.0,Coventry,0.0,72.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5018.0,Coventry,0.0,318.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5019.0,Coventry,0.0,319.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1313.0,"Coventry, W. Warwick",0.0,74.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1314.0,Cranston,0.35,75.0,,,,,,,,,,,,,,0.35,,,,,,,0.0,0.0,0.0
1315.0,Cranston,0.0,76.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5026.0,Cranston,0.0,324.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5027.0,Cranston,0.0,325.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1318.0,Cumberland,0.0,79.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1319.0,Cumberland,0.0,80.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1321.0,Cumberland,0.0,81.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1322.0,Cumberland,0.0,82.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5031.0,Cumberland,0.0,329.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1284.0,E. Greenwich,0.0,49.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5038.0,E. Greewich,0.0,334.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1323.0,E. Providence,0.4,83.0,,,,,,,,,,,,,,0.4,,,,,,,0.0,0.0,0.0
1325.0,E. Providence,0.0,85.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1326.0,E. Providence,0.0,86.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1272.0,E. Providence,0.0,39.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1273.0,E. Providence,0.0,40.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1295.0,E. Providence,0.0,59.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1324.0,E. Providence,0.0,84.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5050.0,E. Providence,0.0,343.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5048.0,E. Providence,0.0,341.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5041.0,E. Providence,0.0,337.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5046.0,E. Providence,0.0,340.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5049.0,E. Providence,0.0,342.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1327.0,"Foster, Glocester",0.0,87.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1579.0,"Foster, Scituate",0.0,306.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1328.0,Glocester,3.5,88.0,,,,,,,,,,,,,,3.5,,,,,,,0.0,0.0,0.0
1329.0,Glocester,0.0,89.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1330.0,Glocester,0.0,90.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1333.0,Hopkinton,0.0,93.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1331.0,Hopkinton,0.0,91.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1334.0,Hopkinton,0.0,94.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1332.0,Hopkinton,0.0,92.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1316.0,Hopkinton,0.0,77.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
9501.0,Hopkinton,0.0,619.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5057.0,Hopkinton,0.0,346.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1335.0,"Hopkinton, Richmond",2.0,95.0,,,,,,,1.9,,,,,,,,,,0.1,,,,0.0,0.0,0.0
1336.0,Jamestown,0.0,96.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1340.0,Johnston,0.0,100.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1337.0,Johnston,0.0,97.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1339.0,Johnston,0.1,99.0,,,,,,,,,,,,,,,,,0.1,,,,0.0,0.0,0.0
1338.0,Johnston,0.0,98.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1341.0,"Johnston, Smithfield",0.0,101.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1275.0,"Johnston, Smithfield, Lincoln",0.0,42.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1342.0,Lincoln,0.0,102.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1343.0,Lincoln,0.1,103.0,,,0.1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1346.0,Lincoln,0.0,104.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1347.0,Lincoln,0.0,105.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1348.0,Lincoln,0.0,106.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1349.0,Lincoln,0.0,107.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1350.0,Lincoln,0.0,108.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1276.0,"Lincoln, Cumberland",0.0,43.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1292.0,"Lincoln, N. Smithfield",0.0,56.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1353.0,Little Compton,0.9,111.0,,,,,,,0.9,,,,,,,,,,,,,,0.0,0.0,0.0
1354.0,Little Compton,0.0,112.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1351.0,Little Compton,0.0,109.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1352.0,Little Compton,0.0,110.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1355.0,Middletown,0.0,113.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1357.0,Middletown,0.0,115.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1359.0,Middletown,0.0,117.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1358.0,Middletown,0.1,116.0,,,,,,,,,,,,,,,,,0.1,,,,0.0,0.0,0.0
5070.0,Middletown,0.0,352.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1360.0,"Middletown, Portsmouth",0.0,118.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1366.0,N. Kingstown,0.0,123.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1367.0,N. Kingstown,0.0,124.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1368.0,N. Kingstown,0.0,125.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1365.0,N. Kingstown,0.0,122.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5126.0,N. Kingstown,0.0,385.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5326.0,N. Kingstown,0.0,528.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5121.0,N. Kingstown,0.0,382.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1283.0,"N. Kingstown, E. Greenwich",0.0,48.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5129.0,N. Providence,0.0,387.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5130.0,N. Providence,0.0,388.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
9502.0,N. Smithfield,0.0,620.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1293.0,N. Smithfield,0.0,57.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1369.0,N. Smithfield,0.0,126.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1370.0,N. Smithfield,0.0,127.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1371.0,"N. Smithfield, Lincoln",0.0,128.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1372.0,"N. Smithfield, Woonsocket",0.0,129.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1361.0,Narragansett,0.0,119.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1362.0,Narragansett,0.0,120.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
